Shipment_ID,Origin_Hub,Destination_Hub,Distance_km,Weight_kg,Transport_Mode,Expected_Delivery_Hours,Actual_Delivery_Hours,Transport_Cost,Distance_km_outlier,Weight_kg_outlier,Expected_Delivery_Hours_outlier,Actual_Delivery_Hours_outlier,Transport_Cost_outlier,Delay_Hours,On_Time,Cost_per_km
1001,Delhi Hub,Mumbai Hub,1400.0,520.0,Road,28.0,34.0,42000,1,1,1,1,1,6.0,0,30.0
1002,Delhi Hub,Jaipur Hub,280.0,180.0,Road,7.0,6.0,9000,0,0,0,0,0,-1.0,1,32.14
1003,Mumbai Hub,Pune Hub,150.0,75.0,Rail,8.0,11.0,5500,0,0,0,0,0,3.0,0,36.67
1004,Pune Hub,Bengaluru Hub,840.0,310.0,Air,4.0,4.5,28500,0,0,0,0,0,0.5,0,33.93
1005,Delhi Hub,Lucknow Hub,500.0,240.0,Road,12.0,16.0,14500,0,0,0,0,0,4.0,0,29.0
1006,Kolkata Hub,Delhi Hub,1500.0,620.0,Rail,30.0,37.0,39000,1,1,1,1,0,7.0,0,26.0
1007,Mumbai Hub,Ahmedabad Hub,530.0,210.0,Road,11.0,10.0,13500,0,0,0,0,0,-1.0,1,25.47
1008,Bengaluru Hub,Chennai Hub,350.0,160.0,Air,3.5,5.0,22000,0,0,0,0,0,1.5,0,62.86
1009,Jaipur Hub,Delhi Hub,280.0,190.0,Road,7.0,9.0,9200,0,0,0,0,0,2.0,0,32.86
1010,Kolkata Hub,Bhubaneswar Hub,440.0,130.0,Rail,10.0,12.0,8500,0,0,0,0,0,2.0,0,19.32
1011,Delhi Hub,Chandigarh Hub,250.0,95.0,Road,6.0,7.0,7200,0,0,0,0,0,1.0,0,28.8
1012,Pune Hub,Hyderabad Hub,560.0,270.0,Rail,14.0,17.0,12500,0,0,0,0,0,3.0,0,22.32
1013,Chennai Hub,Bengaluru Hub,350.0,145.0,Air,3.0,3.0,19500,0,0,0,0,0,0.0,1,55.71
1014,Delhi Hub,Mumbai Hub,1400.0,510.0,Road,28.0,30.0,41000,1,1,1,0,1,2.0,0,29.29
1015,Mumbai Hub,Surat Hub,285.0,120.0,Road,6.0,8.0,7800,0,0,0,0,0,2.0,0,27.37
1016,Hyderabad Hub,Bengaluru Hub,570.0,260.0,Rail,15.0,18.0,11800,0,0,0,0,0,3.0,0,20.7
1017,Delhi Hub,Kanpur Hub,440.0,210.0,Road,10.0,13.0,9800,0,0,0,0,0,3.0,0,22.27
1018,Ahmedabad Hub,Mumbai Hub,530.0,220.0,Road,11.0,14.0,14200,0,0,0,0,0,3.0,0,26.79
1019,Chennai Hub,Kochi Hub,690.0,300.0,Air,5.0,7.0,26000,0,0,0,0,0,2.0,0,37.68
1020,Kolkata Hub,Patna Hub,580.0,280.0,Rail,13.0,15.0,11000,0,0,0,0,0,2.0,0,18.97
1021,Delhi Hub,Agra Hub,500.0,110.0,Road,5.0,6.0,6000,0,0,0,0,0,1.0,0,12.0
1022,Mumbai Hub,Nashik Hub,170.0,80.0,Road,4.0,5.0,5200,0,0,0,0,0,1.0,0,30.59
1023,Bengaluru Hub,Hyderabad Hub,570.0,250.0,Rail,15.0,19.0,12000,0,0,0,0,0,4.0,0,21.05
1024,Pune Hub,Mumbai Hub,150.0,70.0,Air,2.0,2.5,16500,0,0,0,0,0,0.5,0,110.0
1025,Delhi Hub,Jaipur Hub,280.0,185.0,Road,7.0,8.0,9100,0,0,0,0,0,1.0,0,32.5
1026,Kolkata Hub,Delhi Hub,1500.0,650.0,Rail,30.0,45.0,40500,1,1,1,1,1,15.0,0,27.0
1027,Delhi Hub,Lucknow Hub,500.0,230.0,Road,10.0,17.0,15000,0,0,0,0,0,7.0,0,30.0
1028,Mumbai Hub,Goa Hub,590.0,205.0,Road,12.0,15.0,13200,0,0,0,0,0,3.0,0,22.37
1029,Chennai Hub,Bengaluru Hub,350.0,150.0,Air,3.0,4.0,20000,0,0,0,0,0,1.0,0,57.14
1030,Delhi Hub,Mumbai Hub,1400.0,1200.0,Road,28.0,40.0,60000,1,1,1,1,1,12.0,0,42.86
