order_id,order_date,origin,destination,distance_km,weight_kg,transport_mode,transport_cost,delivery_time_hr,expected_time_hr,delayed
ORD0001,2026-03-28,Mumbai,Indore,571,2160.6,Road,63.03,8.24,11.88,0
ORD0002,2026-02-24,Ahmedabad,Surat,1020,989.9,Air,147.81,5.21,4.04,1
ORD0003,2026-01-09,Pune,Nagpur,701,253.2,Rail,50.0,13.57,13.78,0
ORD0004,2026-04-04,Indore,Nagpur,839,567.1,Road,79.89,17.61,16.75,0
ORD0005,2026-03-24,Surat,Indore,1163,882.0,Road,102.78,24.51,22.65,0
ORD0006,2026-03-22,Nashik,Nagpur,712,1149.2,Rail,50.0,13.79,13.95,0
ORD0007,2026-04-06,Nagpur,Indore,513,792.0,Road,50.0,11.77,10.83,0
ORD0008,2026-03-26,Surat,Indore,608,1973.7,Road,81.46,11.51,12.55,0
ORD0009,2026-04-06,Nagpur,Surat,607,1456.6,Rail,50.0,13.02,12.34,0
ORD0010,2026-02-22,Ahmedabad,Nashik,469,615.0,Road,50.0,7.36,10.03,0
ORD0011,2026-02-20,Surat,Nashik,408,1688.6,Road,50.0,9.73,8.92,0
ORD0012,2026-01-03,Nashik,Surat,454,316.1,Rail,50.0,9.81,9.98,0
ORD0013,2026-04-26,Pune,Indore,859,1170.8,Road,59.79,16.53,17.12,0
ORD0014,2026-04-26,Nashik,Mumbai,459,2280.6,Road,50.0,10.69,9.85,0
ORD0015,2026-03-28,Pune,Surat,583,753.4,Road,50.0,12.53,12.1,0
ORD0016,2026-01-22,Nashik,Indore,692,2155.9,Rail,50.0,13.56,13.65,0
ORD0017,2026-03-21,Ahmedabad,Mumbai,807,302.7,Road,80.43,17.8,16.17,0
ORD0018,2026-03-12,Surat,Pune,276,509.4,Air,50.93,1.0,2.55,0
ORD0019,2026-02-22,Mumbai,Nashik,1153,1257.5,Rail,90.62,23.24,20.74,1
ORD0020,2026-02-26,Indore,Pune,687,740.7,Road,61.15,12.88,13.99,0
ORD0021,2026-03-29,Indore,Nashik,1083,436.6,Road,94.03,18.69,21.19,0
ORD0022,2026-01-13,Surat,Jaipur,439,2298.4,Road,76.65,7.6,9.48,0
ORD0023,2026-04-29,Indore,Nashik,985,861.1,Air,134.93,4.04,3.97,0
ORD0024,2026-01-06,Pune,Indore,677,1144.2,Air,106.04,5.04,3.35,1
ORD0025,2026-03-30,Jaipur,Pune,661,858.2,Rail,50.0,14.03,13.17,0
ORD0026,2026-04-23,Nagpur,Surat,85,678.3,Road,50.0,4.93,3.05,1
ORD0027,2026-02-22,Nashik,Ahmedabad,1059,571.4,Road,93.38,21.13,20.75,0
ORD0028,2026-01-28,Jaipur,Pune,275,416.4,Road,50.0,3.99,6.5,0
ORD0029,2026-04-27,Ahmedabad,Surat,303,2029.9,Rail,50.0,6.9,7.66,0
ORD0030,2026-03-21,Pune,Nashik,649,2393.5,Road,72.44,12.24,13.3,0
ORD0031,2026-03-30,Pune,Surat,198,436.8,Road,50.0,10.0,5.1,1
ORD0032,2026-04-05,Nagpur,Surat,790,142.8,Road,50.0,14.33,15.86,0
ORD0033,2026-04-26,Nashik,Ahmedabad,758,2182.6,Road,76.39,13.77,15.28,0
ORD0034,2026-01-30,Nashik,Indore,674,668.0,Rail,50.0,17.38,13.37,1
ORD0035,2026-01-19,Ahmedabad,Nagpur,243,2079.2,Road,50.0,6.4,5.92,0
ORD0036,2026-01-14,Ahmedabad,Pune,590,150.8,Road,56.71,11.95,12.23,0
ORD0037,2026-03-01,Nagpur,Surat,520,863.2,Road,53.18,10.23,10.95,0
